iter	Passed	Remaining
0	139	139794
1	140	70178
2	141	46942
3	141	35330
4	142	28365
5	143	23719
6	143	20398
7	144	17909
8	144	15963
9	145	14400
10	146	13130
11	146	12077
12	147	11182
13	147	10417
14	148	9754
15	149	9173
16	149	8658
17	150	8200
18	150	7790
19	151	7421
20	152	7089
21	152	6787
22	153	6511
23	153	6256
24	154	6021
25	154	5804
26	155	5600
27	155	5411
28	156	5235
29	156	5072
30	157	4918
31	157	4775
32	158	4642
33	158	4514
34	159	4395
35	159	4281
36	160	4174
37	160	4074
38	161	3977
39	161	3885
40	162	3799
41	163	3718
42	163	3640
43	164	3565
44	164	3494
45	165	3425
46	165	3360
47	166	3296
48	166	3236
49	167	3178
50	167	3123
51	168	3070
52	168	3018
53	169	2968
54	169	2919
55	170	2873
56	171	2829
57	171	2786
58	172	2744
59	172	2704
60	173	2665
61	173	2626
62	174	2590
63	174	2554
64	175	2520
65	175	2487
66	176	2455
67	176	2423
68	177	2392
69	177	2363
70	178	2334
71	178	2306
72	179	2279
73	180	2252
74	180	2226
75	181	2201
76	181	2177
77	182	2153
78	182	2130
79	183	2108
80	183	2086
81	184	2064
82	184	2043
83	185	2022
84	185	2001
85	186	1981
86	186	1961
87	187	1942
88	187	1923
89	188	1904
90	188	1887
91	189	1869
92	189	1852
93	190	1835
94	190	1818
95	191	1802
96	191	1786
97	192	1770
98	192	1755
99	193	1740
100	193	1725
101	194	1710
102	194	1696
103	195	1682
104	195	1668
105	196	1656
106	196	1643
107	197	1630
108	197	1618
109	198	1606
110	199	1593
111	199	1581
112	199	1569
113	200	1558
114	200	1546
115	201	1535
116	201	1524
117	202	1513
118	203	1503
119	203	1492
120	204	1482
121	204	1471
122	205	1462
123	205	1452
124	206	1442
125	206	1433
126	207	1423
127	207	1414
128	208	1404
129	208	1396
130	209	1386
131	209	1378
132	210	1369
133	210	1361
134	211	1352
135	211	1344
136	212	1336
137	212	1328
138	213	1320
139	213	1312
140	214	1305
141	214	1297
142	215	1289
143	215	1282
144	216	1275
145	216	1267
146	217	1260
147	217	1253
148	218	1246
149	218	1239
150	219	1232
151	219	1225
152	220	1219
153	220	1211
154	221	1205
155	221	1198
156	222	1192
157	222	1186
158	223	1179
159	223	1173
160	224	1167
161	224	1161
162	225	1156
163	225	1150
164	226	1144
165	226	1139
166	227	1133
167	227	1127
168	228	1122
169	228	1116
170	229	1111
171	229	1105
172	230	1100
173	230	1095
174	231	1090
175	231	1084
176	232	1079
177	232	1074
178	233	1069
179	233	1065
180	234	1060
181	234	1055
182	235	1050
183	235	1045
184	236	1041
185	236	1036
186	237	1032
187	237	1027
188	238	1022
189	238	1018
190	239	1014
191	239	1009
192	240	1005
193	240	1000
194	241	996
195	241	992
196	242	988
197	242	983
198	243	979
199	243	975
200	244	971
201	244	967
202	245	963
203	245	959
204	246	955
205	246	951
206	247	947
207	247	944
208	248	940
209	248	936
210	249	932
211	249	929
212	250	925
213	250	921
214	251	917
215	251	914
216	252	910
217	252	907
218	253	903
219	253	900
220	254	896
221	254	893
222	255	890
223	255	886
224	256	883
225	256	880
226	257	876
227	257	873
228	258	870
229	258	866
230	259	863
231	259	860
232	260	857
233	261	854
234	261	851
235	262	848
236	262	845
237	263	842
238	263	839
239	264	836
240	264	833
241	265	830
242	265	827
243	266	824
244	266	821
245	267	818
246	267	815
247	268	813
248	268	810
249	269	807
250	269	804
251	270	801
252	270	798
253	271	796
254	271	793
255	272	790
256	272	788
257	273	785
258	273	782
259	274	780
260	274	777
261	275	775
262	275	772
263	276	769
264	276	767
265	277	764
266	277	762
267	278	759
268	278	757
269	279	754
270	279	752
271	280	749
272	280	747
273	281	744
274	281	742
275	282	740
276	282	737
277	283	735
278	283	733
279	284	731
280	284	729
281	285	726
282	285	724
283	286	722
284	287	720
285	287	717
286	288	715
287	288	713
288	289	711
289	289	708
290	289	706
291	290	704
292	291	702
293	291	700
294	292	698
295	292	695
296	293	693
297	293	691
298	294	689
299	294	687
300	295	685
301	295	683
302	296	680
303	296	678
304	297	676
305	297	674
306	297	672
307	298	670
308	299	668
309	299	666
310	300	664
311	300	662
312	301	660
313	301	658
314	302	656
315	302	654
316	303	652
317	303	651
318	304	649
319	304	647
320	305	645
321	305	643
322	306	641
323	306	639
324	307	637
325	307	636
326	308	634
327	308	632
328	309	630
329	309	628
330	310	627
331	310	625
332	311	623
333	311	621
334	312	619
335	312	618
336	313	616
337	313	614
338	314	612
339	314	611
340	315	609
341	315	607
342	316	605
343	316	604
344	317	602
345	317	600
346	318	599
347	318	597
348	319	595
349	319	593
350	320	592
351	320	590
352	321	589
353	321	587
354	322	585
355	322	584
356	323	582
357	323	580
358	324	579
359	325	577
360	325	576
361	326	574
362	326	573
363	327	571
364	327	569
365	328	568
366	328	566
367	329	565
368	329	563
369	330	561
370	330	560
371	331	558
372	331	557
373	332	555
374	332	554
375	333	552
376	333	551
377	334	549
378	334	548
379	335	546
380	335	545
381	336	543
382	336	542
383	337	540
384	337	539
385	338	537
386	338	536
387	339	535
388	339	533
389	340	532
390	340	530
391	341	529
392	341	528
393	342	526
394	342	525
395	343	523
396	343	522
397	344	520
398	344	519
399	345	518
400	345	516
401	346	515
402	346	513
403	347	512
404	347	511
405	348	509
406	348	508
407	349	507
408	349	505
409	350	504
410	350	503
411	351	501
412	352	500
413	352	499
414	353	497
415	353	496
416	354	495
417	354	493
418	355	492
419	355	491
420	356	489
421	356	488
422	357	487
423	357	485
424	358	484
